Gruppe;Untergruppe_1;Untergruppe_2;DE;EN;TR
10;06;;Geschichte: Spät- und Nachantike;History: late and postantique periods;Tarih: Geç Antik Dönem ve Antik Dönem Sonrası
10;07;;Geschichte: Mittelalter / Balat;History: Medieval / Balat;Tarih: Orta Çağ / Balat
;;;;;
11;;;Geographie und Geophysik;Geography and Geophysics;Coğrafya ve Jeofizik
;;;;;
12;;;Lexikonbeiträge;Encyclopediae;Ansiklopedi maddeleri
;;;;;
13;;;Umlandforschung;Reginal / Surroundings;Çevresel araştırmalar
;;;;;
14;;;Forschungsgeschichte;Research history;Araştırma tarihçesi
;;;;;
15;;;Ruinen- und Geländepflege, Restaurierung;Site maintenance and restoration;Alan bakımı, restorasyon
;;;;;
16;;;Methodik, Vermessungsarbeiten;Methodology, surveying works;Yöntembilim, ölçüm çalışmaları
